kind,created_at,title,topic_id,post_id,post_number,url
reply,2017-11-30T20:58:04.779Z,"OAuth: GitHub, Google, et cetera",22,61,2,https://discourse.elm-lang.org/t/oauth-github-google-et-cetera/22/2
topic,2017-12-01T00:15:21.454Z,The Show and Tell Category,31,,1,https://discourse.elm-lang.org/t/the-show-and-tell-category/31
reply,2017-12-01T00:56:04.712Z,What categories should we have? or should we not have?,29,101,4,https://discourse.elm-lang.org/t/what-categories-should-we-have-or-should-we-not-have/29/4
reply,2017-12-01T01:26:24.500Z,What categories should we have? or should we not have?,29,108,6,https://discourse.elm-lang.org/t/what-categories-should-we-have-or-should-we-not-have/29/6
reply,2017-12-01T01:53:26.200Z,What categories should we have? or should we not have?,29,110,8,https://discourse.elm-lang.org/t/what-categories-should-we-have-or-should-we-not-have/29/8
reply,2017-12-01T02:11:24.433Z,What categories should we have? or should we not have?,29,112,10,https://discourse.elm-lang.org/t/what-categories-should-we-have-or-should-we-not-have/29/10
topic,2017-12-01T03:33:29.801Z,The Learn Category,33,,1,https://discourse.elm-lang.org/t/the-learn-category/33
topic,2017-12-01T03:36:39.598Z,The Request Feedback Category,34,,1,https://discourse.elm-lang.org/t/the-request-feedback-category/34
reply,2017-12-01T04:38:18.879Z,What categories should we have? or should we not have?,29,117,12,https://discourse.elm-lang.org/t/what-categories-should-we-have-or-should-we-not-have/29/12
reply,2017-12-01T20:40:31.106Z,What categories should we have? or should we not have?,29,203,15,https://discourse.elm-lang.org/t/what-categories-should-we-have-or-should-we-not-have/29/15
reply,2017-12-03T23:25:18.694Z,What categories should we have? or should we not have?,29,458,17,https://discourse.elm-lang.org/t/what-categories-should-we-have-or-should-we-not-have/29/17
reply,2017-12-04T19:04:35.317Z,Should we have weekly beginners / working on threads here?,151,520,2,https://discourse.elm-lang.org/t/should-we-have-weekly-beginners-working-on-threads-here/151/2
topic,2017-12-04T19:08:31.782Z,Alternate Welcome Message,157,,1,https://discourse.elm-lang.org/t/alternate-welcome-message/157
reply,2017-12-04T22:48:11.172Z,Alternate Welcome Message,157,535,4,https://discourse.elm-lang.org/t/alternate-welcome-message/157/4
reply,2017-12-04T22:53:39.730Z,Alternate Welcome Message,157,538,5,https://discourse.elm-lang.org/t/alternate-welcome-message/157/5
reply,2017-12-04T23:06:53.245Z,Alternate Welcome Message,157,541,7,https://discourse.elm-lang.org/t/alternate-welcome-message/157/7
reply,2017-12-04T23:27:06.383Z,Alternate Welcome Message,157,543,8,https://discourse.elm-lang.org/t/alternate-welcome-message/157/8
reply,2017-12-05T00:35:25.441Z,Alternate Welcome Message,157,547,10,https://discourse.elm-lang.org/t/alternate-welcome-message/157/10
reply,2017-12-05T00:37:37.059Z,Alternate Welcome Message,157,548,11,https://discourse.elm-lang.org/t/alternate-welcome-message/157/11
reply,2017-12-05T00:46:03.942Z,Alternate Welcome Message,157,549,12,https://discourse.elm-lang.org/t/alternate-welcome-message/157/12
topic,2017-12-12T20:57:35.396Z,Possible project: docs previewer,240,,1,https://discourse.elm-lang.org/t/possible-project-docs-previewer/240
topic,2017-12-12T22:36:09.291Z,Literal Names Policy (i.e. how to name packages),242,,1,https://discourse.elm-lang.org/t/literal-names-policy-i-e-how-to-name-packages/242
reply,2017-12-13T18:44:56.665Z,Possible project: docs previewer,240,879,3,https://discourse.elm-lang.org/t/possible-project-docs-previewer/240/3
reply,2018-01-11T02:15:01.482Z,Best way to write this in Elm? (Parser vs Regex),514,1691,2,https://discourse.elm-lang.org/t/best-way-to-write-this-in-elm-parser-vs-regex/514/2
reply,2018-01-24T01:49:54.233Z,How do we feel about state machines?,567,1878,2,https://discourse.elm-lang.org/t/how-do-we-feel-about-state-machines/567/2
reply,2018-01-24T02:10:27.577Z,How do we feel about state machines?,567,1879,3,https://discourse.elm-lang.org/t/how-do-we-feel-about-state-machines/567/3
reply,2018-01-25T00:42:08.268Z,Experiment with Program Combinators,555,1902,8,https://discourse.elm-lang.org/t/experiment-with-program-combinators/555/8
reply,2018-01-25T20:31:16.103Z,Experiment with Program Combinators,555,1910,10,https://discourse.elm-lang.org/t/experiment-with-program-combinators/555/10
reply,2018-02-23T19:21:52.064Z,Elm Package Website is down? (update: not anymore!),749,2548,5,https://discourse.elm-lang.org/t/elm-package-website-is-down-update-not-anymore/749/5
reply,2018-03-10T03:31:32.671Z,Elm 0.19 - From a production perspective,815,2863,6,https://discourse.elm-lang.org/t/elm-0-19-from-a-production-perspective/815/6
reply,2018-03-10T18:16:02.600Z,Clear answer to the question of native modules in 0.19 and beyond,822,2881,2,https://discourse.elm-lang.org/t/clear-answer-to-the-question-of-native-modules-in-0-19-and-beyond/822/2
reply,2018-03-10T18:16:23.981Z,Clear answer to the question of native modules in 0.19 and beyond,822,2882,3,https://discourse.elm-lang.org/t/clear-answer-to-the-question-of-native-modules-in-0-19-and-beyond/822/3
reply,2018-03-10T19:39:17.060Z,Ports for everything?,823,2884,4,https://discourse.elm-lang.org/t/ports-for-everything/823/4
reply,2018-03-10T19:39:27.913Z,Ports for everything?,823,2885,5,https://discourse.elm-lang.org/t/ports-for-everything/823/5
topic,2018-03-11T01:14:05.479Z,"""Native Code"" in 0.19",826,,1,https://discourse.elm-lang.org/t/native-code-in-0-19/826
reply,2018-03-11T01:14:13.603Z,"""Native Code"" in 0.19",826,2890,2,https://discourse.elm-lang.org/t/native-code-in-0-19/826/2
reply,2018-03-12T19:12:01.401Z,Window.confirm without native code?,844,2976,4,https://discourse.elm-lang.org/t/window-confirm-without-native-code/844/4
reply,2018-03-12T20:18:34.970Z,Window.confirm without native code?,844,2986,12,https://discourse.elm-lang.org/t/window-confirm-without-native-code/844/12
reply,2018-03-20T16:16:10.510Z,Elm-file-reader,935,3449,13,https://discourse.elm-lang.org/t/elm-file-reader/935/13
reply,2018-03-22T13:46:19.925Z,How would a process for native Web APIs work?,953,3574,7,https://discourse.elm-lang.org/t/how-would-a-process-for-native-web-apis-work/953/7
reply,2018-03-22T13:47:36.063Z,How would a process for native Web APIs work?,953,3575,8,https://discourse.elm-lang.org/t/how-would-a-process-for-native-web-apis-work/953/8
topic,2018-03-22T15:51:12.946Z,"What is ""constructive"" input?",977,,1,https://discourse.elm-lang.org/t/what-is-constructive-input/977
reply,2018-03-22T15:51:18.970Z,"What is ""constructive"" input?",977,3592,2,https://discourse.elm-lang.org/t/what-is-constructive-input/977/2
reply,2018-03-22T16:21:07.122Z,How we talk about other languages,972,3600,6,https://discourse.elm-lang.org/t/how-we-talk-about-other-languages/972/6
reply,2018-04-08T15:25:49.233Z,VirtualDom property setting question,1089,4047,18,https://discourse.elm-lang.org/t/virtualdom-property-setting-question/1089/18
reply,2018-04-12T15:04:22.385Z,About allowing 0.X.Y versioning in elm-package,1108,4150,7,https://discourse.elm-lang.org/t/about-allowing-0-x-y-versioning-in-elm-package/1108/7
